epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1669,1.37228,4.22605,1.08341,0,0,0,0,0.53657,3.72606,0.8148,0,0,0
2,21.2462,1.24872,4.09643,1.01403,0,0,0,0,0.52402,3.72321,0.81318,1.41485e-05,1.41485e-05,1.41485e-05
3,29.9616,1.20173,4.07106,0.98692,0,0,0,0,0.48463,3.71569,0.80793,2.80141e-05,2.80141e-05,2.80141e-05
4,37.0097,1.00667,3.89468,0.97414,0,0,0,0,0.44505,3.70726,0.80245,4.15968e-05,4.15968e-05,4.15968e-05
5,45.6103,1.14648,4.0144,0.90791,0,0,0,0,0.47458,3.70355,0.80218,5.48965e-05,5.48965e-05,5.48965e-05
6,53.033,0.92177,3.71143,0.92881,0,0,0,0,0.59783,3.70005,0.80824,6.79132e-05,6.79132e-05,6.79132e-05
7,61.1168,0.70851,3.63253,0.83358,0,0,0,0,0.75684,3.70413,0.82332,8.0647e-05,8.0647e-05,8.0647e-05
8,68.7619,0.84822,3.43799,0.85123,0,0,0,0,0.85185,3.70011,0.83364,9.30979e-05,9.30979e-05,9.30979e-05
9,77.1403,0.78801,3.56086,0.81499,0.005,0.1,0.05078,0.03554,0.91242,3.66809,0.84023,0.000105266,0.000105266,0.000105266
10,86.5766,0.93684,3.26091,0.85554,0.00481,0.1,0.09945,0.0895,0.89157,3.67146,0.82658,0.000117151,0.000117151,0.000117151
11,93.6757,0.93547,2.87438,0.8889,0.01479,0.45,0.23032,0.13733,0.86152,3.62731,0.8246,0.000128753,0.000128753,0.000128753
12,102.422,0.83328,2.869,0.87439,0.01976,0.7,0.4162,0.32641,0.82903,3.5291,0.82278,0.000140072,0.000140072,0.000140072
13,109.694,0.73199,2.44097,0.83833,0.03226,0.9,0.58203,0.38617,0.73856,3.46979,0.81789,0.000151108,0.000151108,0.000151108
14,118.381,0.85963,2.68775,0.82052,0.038,1,0.66411,0.48212,0.69952,3.40047,0.80862,0.000161861,0.000161861,0.000161861
15,125.474,0.91477,2.49259,0.84622,0.03784,1,0.66411,0.50624,0.68203,3.32503,0.79665,0.000172332,0.000172332,0.000172332
16,133.84,0.79677,2.30435,0.85468,0.03846,1,0.61436,0.47414,0.66731,3.28062,0.78555,0.000182519,0.000182519,0.000182519
17,141.13,0.69674,1.84047,0.80652,0.03774,1,0.66411,0.46299,0.70311,3.24942,0.79241,0.000192423,0.000192423,0.000192423
18,149.121,0.72557,1.72967,0.81621,0.03774,1,0.66411,0.46299,0.70311,3.24942,0.79241,0.000202045,0.000202045,0.000202045
19,156.938,0.67012,1.81201,0.82511,0.03695,1,0.66054,0.397,0.73728,3.23635,0.80139,0.000211383,0.000211383,0.000211383
20,164.487,0.72279,1.63017,0.84213,0.03695,1,0.66054,0.397,0.73728,3.23635,0.80139,0.000220439,0.000220439,0.000220439
21,172.922,0.81704,2.08009,0.85969,0.03648,1,0.66054,0.38291,0.80463,3.19366,0.81033,0.000229212,0.000229212,0.000229212
22,180.367,0.66334,1.47385,0.80834,0.03648,1,0.66054,0.38291,0.80463,3.19366,0.81033,0.000237701,0.000237701,0.000237701
23,189.075,0.70372,1.42889,0.81479,0.03595,1,0.66054,0.38616,0.83556,3.13025,0.8204,0.000245908,0.000245908,0.000245908
24,196.064,0.75135,1.78143,0.83646,0.03595,1,0.66054,0.38616,0.83556,3.13025,0.8204,0.000253832,0.000253832,0.000253832
25,204.921,0.74217,1.44135,0.82292,0.0341,1,0.66054,0.40238,0.83044,3.06098,0.81872,0.000261473,0.000261473,0.000261473
26,211.881,0.6437,1.52025,0.84073,0.0341,1,0.66054,0.40238,0.83044,3.06098,0.81872,0.000268831,0.000268831,0.000268831
27,220.565,0.65994,1.40843,0.83983,0.03352,1,0.66054,0.46169,0.78106,2.98568,0.80946,0.000275906,0.000275906,0.000275906
28,227.757,0.61385,1.25616,0.82985,0.03352,1,0.66054,0.46169,0.78106,2.98568,0.80946,0.000282698,0.000282698,0.000282698
29,236.033,0.61857,1.21026,0.82904,0.03161,1,0.68911,0.52732,0.68429,2.92461,0.80209,0.000289207,0.000289207,0.000289207
30,243.558,0.7173,1.50775,0.82845,0.03161,1,0.68911,0.52732,0.68429,2.92461,0.80209,0.000295433,0.000295433,0.000295433
31,251.685,0.61508,1.16494,0.83773,0.03158,1,0.66411,0.5689,0.61262,2.86307,0.79695,0.000301376,0.000301376,0.000301376
32,259.788,0.68495,1.113,0.80604,0.03158,1,0.66411,0.5689,0.61262,2.86307,0.79695,0.000307036,0.000307036,0.000307036
33,267.546,0.68413,1.08397,0.83151,0.03102,1,0.66411,0.57674,0.56495,2.80355,0.7883,0.000312414,0.000312414,0.000312414
34,276.236,0.6574,1.27635,0.8098,0.03102,1,0.66411,0.57674,0.56495,2.80355,0.7883,0.000317508,0.000317508,0.000317508
35,283.406,0.72236,1.23074,0.81892,0.03081,1,0.74702,0.67335,0.54453,2.7731,0.78831,0.00032232,0.00032232,0.00032232
36,292.063,0.67759,1.27866,0.82243,0.03081,1,0.74702,0.67335,0.54453,2.7731,0.78831,0.000326848,0.000326848,0.000326848
37,299.273,0.62206,0.95758,0.83887,0.03102,1,0.82952,0.77735,0.53639,2.79304,0.79321,0.000331094,0.000331094,0.000331094
38,307.803,0.65668,1.05249,0.82493,0.03102,1,0.82952,0.77735,0.53639,2.79304,0.79321,0.000335056,0.000335056,0.000335056
39,314.857,0.71921,1.14411,0.83057,0.02996,1,0.93786,0.80675,0.60425,2.80034,0.79432,0.000338736,0.000338736,0.000338736
40,323.259,0.67124,1.01116,0.82804,0.02996,1,0.93786,0.80675,0.60425,2.80034,0.79432,0.000342133,0.000342133,0.000342133
41,330.668,0.63749,0.98849,0.82463,0.03025,1,0.93786,0.77828,0.6377,2.80929,0.79135,0.000345246,0.000345246,0.000345246
