epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.4221,1.49829,3.84963,1.13462,0,0,0,0,0.51227,3.70274,0.80737,0,0,0
2,24.1836,1.20995,3.73317,1.03907,0,0,0,0,0.47966,3.69695,0.80352,1.41485e-05,1.41485e-05,1.41485e-05
3,32.264,1.25938,3.68426,1.04129,0,0,0,0,0.4288,3.68684,0.7963,2.80141e-05,2.80141e-05,2.80141e-05
4,41.3016,0.9063,3.47615,0.94745,0,0,0,0,0.45412,3.67967,0.79518,4.15968e-05,4.15968e-05,4.15968e-05
5,49.0703,1.15627,3.57342,0.92212,0,0,0,0,0.6248,3.69083,0.80814,5.48965e-05,5.48965e-05,5.48965e-05
6,58.2076,0.87534,3.43222,0.9212,0,0,0,0,0.83586,3.70882,0.83355,6.79132e-05,6.79132e-05,6.79132e-05
7,66.8174,0.71752,3.29812,0.84848,0,0,0,0,0.94822,3.70806,0.8494,8.0647e-05,8.0647e-05,8.0647e-05
8,75.5485,0.85372,3.19801,0.8623,0,0,0,0,0.98686,3.69761,0.85695,9.30979e-05,9.30979e-05,9.30979e-05
9,85.7186,0.81809,3.20986,0.8328,0,0,0,0,0.96947,3.68562,0.85465,0.000105266,0.000105266,0.000105266
10,93.3108,0.78908,3.0727,0.86232,0,0,0,0,0.8975,3.68021,0.84184,0.000117151,0.000117151,0.000117151
11,102.201,0.66683,2.91458,0.86395,0,0,0,0,0.79178,3.67108,0.82808,0.000128753,0.000128753,0.000128753
12,109.949,0.67851,2.854,0.8746,0,0,0,0,0.69896,3.66273,0.81759,0.000140072,0.000140072,0.000140072
13,118.926,0.60927,2.69926,0.84083,0.00581,0.25,0.12523,0.08766,0.63213,3.62614,0.81445,0.000151108,0.000151108,0.000151108
14,127.219,0.82717,2.70589,0.85602,0.00556,0.25,0.24892,0.19913,0.57328,3.60633,0.80149,0.000161861,0.000161861,0.000161861
15,135.164,0.76914,2.5716,0.84351,0.01064,0.5,0.33083,0.21519,0.54311,3.60034,0.79437,0.000172332,0.000172332,0.000172332
16,143.965,0.73502,2.31413,0.91489,0.01762,0.6,0.33435,0.16744,0.57822,3.60485,0.80007,0.000182519,0.000182519,0.000182519
17,151.464,0.70066,2.07532,0.8153,0.01757,0.6,0.33463,0.16613,0.59982,3.59876,0.80316,0.000192423,0.000192423,0.000192423
18,160.385,0.7844,1.85007,0.85592,0.01757,0.6,0.33463,0.16613,0.59982,3.59876,0.80316,0.000202045,0.000202045,0.000202045
19,168.079,0.71952,2.12033,0.83908,0.01648,0.6,0.33585,0.17919,0.58794,3.55938,0.80074,0.000211383,0.000211383,0.000211383
20,177.248,0.68063,1.88495,0.84916,0.01648,0.6,0.33585,0.17919,0.58794,3.55938,0.80074,0.000220439,0.000220439,0.000220439
21,185.574,0.78794,2.22234,0.86378,0.0216,0.7,0.34048,0.21286,0.59851,3.51697,0.80156,0.000229212,0.000229212,0.000229212
22,193.75,0.64199,1.56873,0.8167,0.0216,0.7,0.34048,0.21286,0.59851,3.51697,0.80156,0.000237701,0.000237701,0.000237701
23,202.966,0.66959,1.67316,0.85169,0.0281,0.8,0.36779,0.24818,0.62987,3.46646,0.79815,0.000245908,0.000245908,0.000245908
24,210.354,0.7187,1.60768,0.8775,0.0281,0.8,0.36779,0.24818,0.62987,3.46646,0.79815,0.000253832,0.000253832,0.000253832
25,219.334,0.77373,1.75471,0.83316,0.02251,0.7,0.36134,0.24783,0.65337,3.44166,0.80123,0.000261473,0.000261473,0.000261473
26,226.643,0.63244,1.28223,0.85967,0.02251,0.7,0.36134,0.24783,0.65337,3.44166,0.80123,0.000268831,0.000268831,0.000268831
27,235.757,0.59867,1.36972,0.84548,0.02735,0.8,0.3655,0.23408,0.67213,3.41784,0.80371,0.000275906,0.000275906,0.000275906
