epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,382.319,0.59068,0.75597,0.84511,0.0295,1,0.7211,0.65422,0.47201,2.97804,0.79705,0.00035289,0.00035289,0.00035289
45,390.056,0.60348,0.84354,0.81339,0.02894,1,0.74625,0.67356,0.50137,2.94575,0.79805,0.000354872,0.000354872,0.000354872
46,399.181,0.5439,0.79408,0.81706,0.02894,1,0.74625,0.67356,0.50137,2.94575,0.79805,0.000356571,0.000356571,0.000356571
47,407.154,0.57107,0.76511,0.82725,0.0295,1,0.74625,0.62759,0.55231,2.89279,0.80208,0.000357987,0.000357987,0.000357987
48,415.667,0.55506,0.74859,0.81597,0.0295,1,0.74625,0.62759,0.55231,2.89279,0.80208,0.000359121,0.000359121,0.000359121
49,424.747,0.59081,1.02487,0.84998,0.02901,1,0.82875,0.70596,0.59314,2.85082,0.8028,0.000359971,0.000359971,0.000359971
50,432.343,0.47813,0.72471,0.82237,0.02901,1,0.82875,0.70596,0.59314,2.85082,0.8028,0.000360538,0.000360538,0.000360538
51,441.714,0.54641,0.74711,0.84673,0.0291,1,0.91208,0.77111,0.59095,2.82102,0.80592,0.000360822,0.000360822,0.000360822
52,449.359,0.53923,0.73962,0.83381,0.0291,1,0.91208,0.77111,0.59095,2.82102,0.80592,0.000360824,0.000360824,0.000360824
53,458.312,0.60423,0.79361,0.87457,0.0291,1,0.91208,0.77111,0.59095,2.82102,0.80592,0.000360542,0.000360542,0.000360542
54,466.892,0.56628,0.91306,0.82796,0.0301,1,0.73351,0.63909,0.52671,2.79917,0.80105,0.000359978,0.000359978,0.000359978
55,474.87,0.53963,0.78204,0.85523,0.0301,1,0.73351,0.63909,0.52671,2.79917,0.80105,0.000359131,0.000359131,0.000359131
56,484.259,0.54169,0.69397,0.81024,0.0301,1,0.73351,0.63909,0.52671,2.79917,0.80105,0.000358,0.000358,0.000358
57,491.979,0.72379,0.75868,0.8503,0.0293,1,0.70333,0.61615,0.4978,2.76099,0.79582,0.000356587,0.000356587,0.000356587
58,501.125,0.50074,0.68744,0.82704,0.0293,1,0.70333,0.61615,0.4978,2.76099,0.79582,0.000354891,0.000354891,0.000354891
59,508.921,0.53746,0.75271,0.81962,0.0293,1,0.70333,0.61615,0.4978,2.76099,0.79582,0.000352912,0.000352912,0.000352912
60,517.452,0.56418,0.7356,0.8747,0.02924,1,0.72637,0.66888,0.52113,2.71384,0.79681,0.000350649,0.000350649,0.000350649
61,526.274,0.48568,0.70139,0.83865,0.02924,1,0.72637,0.66888,0.52113,2.71384,0.79681,0.000348104,0.000348104,0.000348104
62,534.29,0.56801,0.68643,0.80946,0.02924,1,0.72637,0.66888,0.52113,2.71384,0.79681,0.000345276,0.000345276,0.000345276
63,543.745,0.55222,0.69978,0.85673,0.02993,1,0.97833,0.85263,0.53749,2.62303,0.79803,0.000342165,0.000342165,0.000342165
64,551.448,0.53502,0.70413,0.81736,0.02993,1,0.97833,0.85263,0.53749,2.62303,0.79803,0.000338772,0.000338772,0.000338772
65,560.547,0.60202,0.83001,0.83868,0.02993,1,0.97833,0.85263,0.53749,2.62303,0.79803,0.000335095,0.000335095,0.000335095
